course,course number,credit hours,section number,crn,start date,end date,type,meeting time start,meeting time end,meeting days,building location,room number,instructors
AAS,100,3 hours.,AD1,41758,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F      ,,,"Espiritu A,Zheng R"
AAS,100,3 hours.,AD2,47100,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,,,"Espiritu A,Zheng R"
AAS,100,3 hours.,AD3,47102,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,Engineering Hall,106B6,"Espiritu A,Lee S"
AAS,100,3 hours.,AD4,51248,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,Engineering Hall,106B6,"Espiritu A,Lee S"
AAS,100,3 hours.,AD5,51249,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,,,"Espiritu A,Roy S"
AAS,100,3 hours.,AD6,51932,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,F      ,,,"Espiritu A,Roy S"
AAS,100,3 hours.,AD7,59818,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F      ,"Literatures, Cultures, & Ling",1136,"Espiritu A,Wang Y"
AAS,100,3 hours.,AD8,59819,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F      ,"Literatures, Cultures, & Ling",1038,"Espiritu A,Wang Y"
AAS,100,3 hours.,AD9,59820,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F      ,Education Building,37,"Espiritu A,Mukhopadhyay A"
AAS,100,3 hours.,ADA,59821,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F      ,Education Building,37,"Espiritu A,Mukhopadhyay A"
AAS,100,3 hours.,AL1,29646,2024-08-26Z,2024-12-11Z,Lecture,01:00 PM,01:50 PM,MW     ,,,Espiritu A
AAS,200,3 hours.,C  ,67473,2024-08-26Z,2024-12-11Z,Lecture-Discussion,01:00 PM,02:20 PM,TR     ,,,Bui K
AAS,201,3 hours.,AD1,62301,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F      ,David Kinley Hall,222,
AAS,201,3 hours.,AD2,62302,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,David Kinley Hall,111,
AAS,201,3 hours.,AD3,62303,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F      ,David Kinley Hall,212,
AAS,201,3 hours.,AL1,62300,2024-08-26Z,2024-12-11Z,Lecture,10:00 AM,10:50 AM,MW     ,Lincoln Hall,1090,Wong C
AAS,215,3 hours.,A  ,55765,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR     ,Armory,384,Kashani M
AAS,260,3 hours.,A  ,54352,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,09:30 AM,10:50 AM,TR     ,805 W Pennsylvania,121,Bright L
AAS,281,3 hours.,AD1,71409,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F      ,David Kinley Hall,325,
AAS,281,3 hours.,AD2,71413,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F      ,"Literatures, Cultures, & Ling",G18,
AAS,281,3 hours.,AD3,71417,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,Lincoln Hall,1064,
AAS,281,3 hours.,AD4,75269,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,Armory,134,
AAS,281,3 hours.,AD5,75272,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,W      ,David Kinley Hall,219,
AAS,281,3 hours.,AD6,75275,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,W      ,David Kinley Hall,325,
AAS,281,3 hours.,AL1,70106,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,11:50 AM,MW     ,Temple Hoyne Buell Hall,134,Ramirez Y
AAS,286,3 hours.,F  ,41932,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,02:50 PM,MWF    ,Henry Administration Bldg,137,
AAS,297,3 hours.,A  ,64421,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:45 AM,TR     ,Architecture Building,302,Chih D
AAS,297,3 hours.,B  ,77102,2024-08-26Z,2024-12-11Z,Lecture-Discussion,05:00 PM,06:15 PM,MW     ,Bevier Hall,242,Balgopal A
AAS,310,4 hours.,D1 ,65000,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:50 PM,R      ,Education Building,389,Moton T
AAS,310,4 hours.,D2 ,33764,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:50 PM,R      ,Education Building,385,Moton T
AAS,310,4 hours.,D3 ,77817,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:50 PM,R      ,Education Building,376,Moton T
AAS,310,4 hours.,D4 ,79695,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:50 PM,R      ,Mumford Hall,320,Moton T
AAS,310,4 hours.,D5 ,79699,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,03:50 PM,R      ,Armory,137,Moton T
AAS,310,4 hours.,L  ,33770,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:50 PM,T      ,Education Building,2,Moton T
AAS,355,3 hours.,A  ,61320,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,David Kinley Hall,219,Lule L
AAS,357,3 hours.,A  ,75368,2024-08-26Z,2024-12-11Z,Lecture-Discussion,10:30 AM,11:50 AM,MW     ,Armory,144,Lule L
AAS,395,2 OR 3 hours.,,71134,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
AAS,465,3 OR 4 hours.,G  ,54040,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M      ,1207 W Oregon,103,Flores N
AAS,465,3 OR 4 hours.,U  ,54039,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M      ,1207 W Oregon,103,Flores N
AAS,479,3 OR 4 hours.,G  ,55874,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,02:50 PM,W      ,1207 W Oregon,103,Lira N
AAS,479,3 OR 4 hours.,U  ,55873,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,02:50 PM,W      ,1207 W Oregon,103,Lira N
AAS,490,3 OR 4 hours.,WHG,47822,2024-08-26Z,2024-12-11Z,Lecture,03:30 PM,04:50 PM,TR     ,,,Hassan W
AAS,490,3 OR 4 hours.,WHU,47848,2024-08-26Z,2024-12-11Z,Lecture,03:30 PM,04:50 PM,TR     ,,,Hassan W
AAS,590,2 TO 4 hours.,D  ,51251,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:50 PM,T      ,,,"Kashani M,Rana J,Velasquez Estrada E"
ABE,127,2 hours.,RBH,78644,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:00 PM,02:50 PM,R      ,Agricultural Engr Sciences Bld,208,Bhattarai R
ABE,127,2 hours.,RBH,78644,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,02:50 PM,T      ,Agricultural Engr Sciences Bld,208,Bhattarai R
ABE,199,1 TO 5 hours.,,10141,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
ABE,199,1 TO 5 hours.,AB ,70613,2024-08-26Z,2024-12-11Z,Lecture-Discussion,01:00 PM,01:50 PM,W      ,Agricultural Engr Sciences Bld,217,Boone A
ABE,199,1 TO 5 hours.,CHP,55376,2024-08-26Z,2024-10-18Z,Online,01:00 PM,02:50 PM,MW     ,,,"Bhattarai R,Davidson P,Kalita P"
ABE,227,3 hours.,LB1,79304,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,09:50 AM,R      ,Agricultural Engr Sciences Bld,242,Grift T
ABE,227,3 hours.,LB1,79304,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,MW     ,Agricultural Engr Sciences Bld,137,Grift T
ABE,227,3 hours.,LB2,79305,2024-08-26Z,2024-12-11Z,Laboratory,10:00 AM,11:50 AM,R      ,Agricultural Engr Sciences Bld,242,Grift T
ABE,227,3 hours.,LB2,79305,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,MW     ,Agricultural Engr Sciences Bld,137,Grift T
ABE,232,3 hours.,APW,75460,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,Ceramics Building,218,Witmer A
ABE,340,3 hours.,MK ,77441,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:20 PM,TR     ,Agricultural Engr Sciences Bld,242,Kamruzzaman M
ABE,397,1 TO 4 hours.,,50272,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
ABE,430,2 hours.,AL1,64779,2024-08-26Z,2024-12-11Z,Online Lecture,10:00 AM,11:50 AM,T      ,,,Davidson P
ABE,436,3 OR 4 hours.,ONL,76434,2024-08-26Z,2024-12-11Z,Online,ARRANGED,,,,,Malvandi A
